region,category,parameter,mode,powertrain,year,unit,value
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,80
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2015,percent,0.004100000020116568
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2016,percent,0.002400000113993883
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,45
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,60
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2017,percent,0.0034000000450760126
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2018,percent,0.0006399999838322401
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,12
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,240
Africa,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,200
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2019,percent,0.012000000104308128
Africa,Historical,EV stock share,2 and 3 wheelers,EV,2019,percent,0.0010999999940395355
Africa,Historical,EV stock share,2 and 3 wheelers,EV,2020,percent,0.00570000009611249
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2020,percent,0.04399999976158142
Africa,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,1100
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,940
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,1400
Africa,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,2400
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2021,percent,0.06400000303983688
Africa,Historical,EV stock share,2 and 3 wheelers,EV,2021,percent,0.013000000268220901
Africa,Historical,EV stock share,2 and 3 wheelers,EV,2022,percent,0.0430000014603138
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2022,percent,0.33000001311302185
Africa,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,8100
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,6100
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,6900
Africa,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,16000
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2023,percent,0.3700000047683716
Africa,Historical,EV stock share,2 and 3 wheelers,EV,2023,percent,0.08399999886751175
Africa,Historical,EV stock share,2 and 3 wheelers,EV,2024,percent,0.12999999523162842
Africa,Historical,EV sales share,2 and 3 wheelers,EV,2024,percent,0.4000000059604645
Africa,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,25000
Africa,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,9400
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2010,percent,0.012000000104308128
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2010,percent,0.0989999994635582
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2010,Vehicles,41000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2010,Vehicles,48000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2011,Vehicles,77000
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2011,Vehicles,30000
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2011,percent,0.07100000232458115
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2011,percent,0.01899999938905239
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2012,percent,0.44999998807907104
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2012,percent,4.199999809265137
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,2000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,2000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,4100000
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,2300000
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2013,percent,4.800000190734863
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2013,percent,0.8899999856948853
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2014,percent,1.399999976158142
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2014,percent,5.5
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,2700000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,6600000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,9300000
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,2700000
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2015,percent,5.599999904632568
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2015,percent,1.899999976158142
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2016,percent,2.299999952316284
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2016,percent,5.800000190734863
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,3000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,12000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,16000000
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,3500000
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2017,percent,6.199999809265137
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2017,percent,2.9000000953674316
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2018,percent,3.700000047683716
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2018,percent,8.699999809265137
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,5000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,22000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,29000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,PHEV,2019,Vehicles,1
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,6400000
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2019,percent,12
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2019,percent,4.699999809265137
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2020,percent,5.800000190734863
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2020,percent,18
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,8700000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,PHEV,2020,Vehicles,1
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,37000000
Asia Pacific,Historical,EV sales,2 and 3 wheelers,PHEV,2020,Vehicles,1
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,47000000
Asia Pacific,Historical,EV sales,2 and 3 wheelers,FCEV,2021,Vehicles,2
Asia Pacific,Historical,EV stock,2 and 3 wheelers,FCEV,2021,Vehicles,2
Asia Pacific,Historical,EV stock,2 and 3 wheelers,PHEV,2021,Vehicles,1
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,11000000
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2021,percent,22
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2021,percent,7.199999809265137
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2022,percent,7.699999809265137
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2022,percent,18
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,9600000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,PHEV,2022,Vehicles,1
Asia Pacific,Historical,EV stock,2 and 3 wheelers,FCEV,2022,Vehicles,2
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,52000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,68000000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,FCEV,2023,Vehicles,2
Asia Pacific,Historical,EV stock,2 and 3 wheelers,PHEV,2023,Vehicles,1
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,9800000
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2023,percent,18
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2023,percent,9.699999809265137
Asia Pacific,Historical,EV stock share,2 and 3 wheelers,EV,2024,percent,11
Asia Pacific,Historical,EV sales share,2 and 3 wheelers,EV,2024,percent,18
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,9700000
Asia Pacific,Historical,EV stock,2 and 3 wheelers,PHEV,2024,Vehicles,1
Asia Pacific,Historical,EV stock,2 and 3 wheelers,FCEV,2024,Vehicles,2
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,77000000
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2016,percent,0.41999998688697815
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,480
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,720
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2017,percent,0.6899999976158142
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2018,percent,1
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,1000
Australia,Historical,EV stock share,2 and 3 wheelers,EV,2018,percent,0.10999999940395355
Australia,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,1000
Australia,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,2300
Australia,Historical,EV stock share,2 and 3 wheelers,EV,2019,percent,0.25999999046325684
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,1300
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2019,percent,1.5
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2020,percent,2.0999999046325684
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,2400
Australia,Historical,EV stock share,2 and 3 wheelers,EV,2020,percent,0.5099999904632568
Australia,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,4700
Australia,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,6300
Australia,Historical,EV stock share,2 and 3 wheelers,EV,2021,percent,0.6600000262260437
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,1600
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2021,percent,1.2999999523162842
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2022,percent,2.0999999046325684
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,2100
Australia,Historical,EV stock share,2 and 3 wheelers,EV,2022,percent,0.8600000143051147
Australia,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,8400
Australia,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,18000
Australia,Historical,EV stock share,2 and 3 wheelers,EV,2023,percent,1.7999999523162842
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,8100
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2023,percent,7.300000190734863
Australia,Historical,EV sales share,2 and 3 wheelers,EV,2024,percent,7
Australia,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,6800
Australia,Historical,EV stock share,2 and 3 wheelers,EV,2024,percent,2.5
Australia,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,24000
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,610
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2012,percent,1.2999999523162842
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2012,percent,0.08399999886751175
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,610
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,920
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2013,percent,0.11999999731779099
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2013,percent,0.7200000286102295
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,310
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,410
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2014,percent,1
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2014,percent,0.18000000715255737
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,1300
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,1700
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2015,percent,0.20999999344348907
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2015,percent,1
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,400
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,1200
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2016,percent,2.700000047683716
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2016,percent,0.7099999785423279
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,5800
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,6100
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2017,percent,0.7300000190734863
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2017,percent,3.200000047683716
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,1300
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,1900
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2018,percent,4.900000095367432
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2018,percent,0.8899999856948853
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,7600
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,9400
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2019,percent,1.100000023841858
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2019,percent,5.300000190734863
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,2200
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,2600
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2020,percent,5.599999904632568
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2020,percent,1.2999999523162842
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,11000
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,14000
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2021,percent,1.600000023841858
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2021,percent,7.800000190734863
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,3600
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,3800
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2022,percent,8.399999618530273
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2022,percent,1.899999976158142
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,17000
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,20000
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2023,percent,2.200000047683716
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2023,percent,6
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,2800
Austria,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,3500
Austria,Historical,EV sales share,2 and 3 wheelers,EV,2024,percent,5.900000095367432
Austria,Historical,EV stock share,2 and 3 wheelers,EV,2024,percent,2.4000000953674316
Austria,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,22000
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2010,Vehicles,110
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2010,percent,0.026000000536441803
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2011,percent,0.04800000041723251
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2011,Vehicles,200
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,620
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,60
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2012,percent,0.14000000059604645
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2012,percent,0.17000000178813934
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2013,percent,0.1599999964237213
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2013,percent,0.1599999964237213
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,45
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,730
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,1000
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,170
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2014,percent,0.2199999988079071
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2014,percent,0.5299999713897705
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2015,percent,0.7200000286102295
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2015,percent,0.3499999940395355
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,240
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,1700
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,5100
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,220
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2016,percent,0.8799999952316284
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2016,percent,0.6499999761581421
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2017,percent,1.7999999523162842
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2017,percent,1.899999976158142
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,640
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,12000
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,23000
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,1200
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2018,percent,3.4000000953674316
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2018,percent,3.200000047683716
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2019,percent,8.800000190734863
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2019,percent,5.699999809265137
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,3500
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,40000
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,54000
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,3900
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2020,percent,7.300000190734863
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2020,percent,9.399999618530273
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2021,percent,14
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2021,percent,9.199999809265137
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,5500
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,69000
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,87000
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,4300
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2022,percent,12
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2022,percent,11
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2023,percent,7.900000095367432
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2023,percent,3
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,3000
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,23000
Belgium,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,26000
Belgium,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,3400
Belgium,Historical,EV stock share,2 and 3 wheelers,EV,2024,percent,3.4000000953674316
Belgium,Historical,EV sales share,2 and 3 wheelers,EV,2024,percent,8.100000381469727
Brazil,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,1200
Brazil,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,1200
Brazil,Historical,EV sales share,2 and 3 wheelers,EV,2020,percent,0.10000000149011612
Brazil,Historical,EV stock share,2 and 3 wheelers,EV,2020,percent,0.008700000122189522
Brazil,Historical,EV stock share,2 and 3 wheelers,EV,2021,percent,0.014999999664723873
Brazil,Historical,EV sales share,2 and 3 wheelers,EV,2021,percent,0.06599999964237213
Brazil,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,2000
Brazil,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,820
Brazil,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,4200
Brazil,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,6300
Brazil,Historical,EV sales share,2 and 3 wheelers,EV,2022,percent,0.33000001311302185
Brazil,Historical,EV stock share,2 and 3 wheelers,EV,2022,percent,0.04800000041723251
Brazil,Historical,EV stock share,2 and 3 wheelers,EV,2023,percent,0.07800000160932541
Brazil,Historical,EV sales share,2 and 3 wheelers,EV,2023,percent,0.25999999046325684
Brazil,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,10000
Brazil,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,4100
Brazil,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,3500
Brazil,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,14000
Brazil,Historical,EV sales share,2 and 3 wheelers,EV,2024,percent,0.1899999976158142
Brazil,Historical,EV stock share,2 and 3 wheelers,EV,2024,percent,0.10000000149011612
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2012,percent,0.004800000227987766
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2012,percent,0.0006200000061653554
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,6
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,6
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,11
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,17
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2013,percent,0.0019000000320374966
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2013,percent,0.008700000122189522
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2014,percent,0.010999999940395355
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2014,percent,0.003599999938160181
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,31
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,14
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,18
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,49
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2015,percent,0.005799999926239252
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2015,percent,0.014000000432133675
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2016,percent,0.032999999821186066
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2016,percent,0.010999999940395355
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,93
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,44
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,60
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,150
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2017,percent,0.019999999552965164
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2017,percent,0.0430000014603138
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2018,percent,0.03799999877810478
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2018,percent,0.026000000536441803
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,200
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,50
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,80
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,280
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2019,percent,0.03700000047683716
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2019,percent,0.061000000685453415
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2020,percent,0.15000000596046448
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2020,percent,0.04399999976158142
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,330
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,110
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,180
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,430
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2021,percent,0.052000001072883606
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2021,percent,0.2199999988079071
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2022,percent,0.25999999046325684
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2022,percent,0.05700000002980232
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,480
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,180
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,130
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,520
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2023,percent,0.061000000685453415
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2023,percent,0.1899999976158142
Canada,Historical,EV sales share,2 and 3 wheelers,EV,2024,percent,0.23999999463558197
Canada,Historical,EV stock share,2 and 3 wheelers,EV,2024,percent,0.08100000023841858
Canada,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,690
Canada,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,170
Central and South America,Historical,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,15000
Central and South America,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,15000
Central and South America,Historical,EV sales share,2 and 3 wheelers,EV,2012,percent,0.4699999988079071
Central and South America,Historical,EV stock share,2 and 3 wheelers,EV,2012,percent,0.04800000041723251
Central and South America,Historical,EV stock share,2 and 3 wheelers,EV,2013,percent,0.09300000220537186
Central and South America,Historical,EV sales share,2 and 3 wheelers,EV,2013,percent,0.5
Central and South America,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,15000
Central and South America,Historical,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,30000
Central and South America,Historical,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,44000
Central and South America,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,15000
Central and South America,Historical,EV sales share,2 and 3 wheelers,EV,2014,percent,0.49000000953674316
Central and South America,Historical,EV stock share,2 and 3 wheelers,EV,2014,percent,0.12999999523162842
Central and South America,Historical,EV stock share,2 and 3 wheelers,EV,2015,percent,0.17000000178813934
Central and South America,Historical,EV sales share,2 and 3 wheelers,EV,2015,percent,0.5600000023841858
Central and South America,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,16000
Central and South America,Historical,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,59000
